@relation day-of-week-./data/bris.dev

@attribute F0 {Brisbane}
@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 {Sat,Fri,Sun,Thu,Wed,Tue,Mon}

@data
Brisbane,1944,10,30,0,16.3,27.4,21.2,5.1,900,22000,8502.1,11200,160000,153800,11.9,16.3,13.5,1022.7,1026.8,1024.9,Mon
Brisbane,1945,10,15,0,16.9,26.3,21.2,10.3,450,22000,9293.8,4000,24000,16300,14.1,21.8,17.5,1009.8,1016.3,1012.5,Sat
Brisbane,1945,11,5,0,18,28.5,23.1,8.7,1200,22000,15622.9,12800,32000,20066.7,14.6,19.6,17.7,1011.2,1016.6,1014.1,Sat
Brisbane,1945,12,17,0,21.3,29.1,25.3,8.2,3900,22000,5845.8,24000,32000,29333.3,16.9,21.8,20.5,1008.5,1012.2,1009.7,Sat
Brisbane,1949,7,25,2,12.8,16.1,14.1,7.7,?,?,?,35000,55000,37857.1,6.1,7.8,6.9,?,?,?,Sat
Brisbane,1950,2,20,9,18.9,27.2,23,8.2,?,?,?,16000,35000,22714.3,15.6,19.4,16.9,?,?,?,Sat
Brisbane,1950,5,8,0,12.8,24.4,18.2,5.1,?,?,?,8000,35000,18571.4,9.4,13.9,12.1,?,?,?,Thu
Brisbane,1950,5,15,0,12.2,24.4,17.9,2.1,?,?,?,19000,35000,21285.7,10.6,13.3,11.8,?,?,?,Sat
Brisbane,1950,6,26,0.5,15,18.3,16.3,10.3,?,?,?,19000,35000,25857.1,7.8,10,9,?,?,?,Sat
Brisbane,1950,8,7,0,10,18.9,14.1,4.1,?,?,?,16000,35000,27714.3,3.3,8.3,6.5,?,?,?,Thu
Brisbane,1950,12,11,0,19.4,26.7,23.3,5.1,?,?,?,19000,35000,28142.9,15.6,18.9,16.7,?,?,?,Sat
Brisbane,1951,2,12,0,19.4,26.1,23.2,7.2,?,?,?,30000,40000,37142.9,14.4,18.3,16.7,?,?,?,Sat
Brisbane,1951,10,1,0,13.3,28.9,20.7,7.7,?,?,?,3200,16000,9942.9,1.1,16.1,10,?,?,?,Thu
Brisbane,1951,10,22,0,21.1,26.7,23.9,8.2,?,?,?,6000,16000,11000,16.7,21.1,19,?,?,?,Thu
Brisbane,1952,1,21,0,23.3,30,26.1,7.2,?,?,?,16000,30000,27666.7,16.7,21.7,19.2,?,?,?,Sat
Brisbane,1952,1,28,0,23.9,30,26.5,8.2,?,?,?,12000,30000,17333.3,15,21.1,17.6,?,?,?,Sat
Brisbane,1952,2,18,0,21.1,29.4,25.6,9.3,?,?,?,30000,40000,35714.3,17.2,20,18.7,?,?,?,Sat
Brisbane,1952,3,31,0,18.3,26.7,22.3,7.2,?,?,?,6000,40000,23142.9,12.2,19.4,17,?,?,?,Thu
Brisbane,1952,4,21,0,17.8,25,20.8,7.2,?,?,?,12000,40000,31142.9,13.3,17.8,15.6,?,?,?,Sat
Brisbane,1952,6,9,0,7.8,21.1,13.7,8.2,?,?,?,12000,45000,27285.7,0.6,4.4,2.8,?,?,?,Thu
Brisbane,1952,8,4,0,10.6,21.1,16.4,6.2,?,?,?,40000,60000,44285.7,6.7,8.3,7.5,?,?,?,Sat
Brisbane,1952,9,8,0,15.6,21.1,18.5,5.1,?,?,?,24000,24000,24000,11.1,13.9,12.9,?,?,?,Thu
Brisbane,1953,3,23,8,21.7,26.1,24,6.2,?,?,?,9000,16000,13714.3,20.6,23.9,22.6,?,?,?,Thu
Brisbane,1953,3,30,0,17.8,31.7,24.6,3.1,?,?,?,3200,40000,28457.1,3.3,17.8,13.4,?,?,?,Sat
Brisbane,1953,4,6,0,19.4,26.7,23,4.6,?,?,?,20000,20000,20000,16.1,17.8,16.9,?,?,?,Thu
Brisbane,1953,6,8,0,10.6,21.7,15.8,4.1,?,?,?,8000,40000,20000,7.2,14.4,11.2,?,?,?,Thu
Brisbane,1953,8,31,0.5,10.6,23.3,17.1,4.1,?,?,?,3200,20000,17400,9.4,15,11.8,?,?,?,Thu
Brisbane,1954,4,5,0,18.3,27.8,22.9,4.6,?,?,?,8000,20000,17000,15.6,17.2,16.7,?,?,?,Thu
Brisbane,1954,4,19,0,17.8,26.7,21.5,6.2,?,?,?,20000,40000,32500,13.9,16.1,14.9,?,?,?,Sat
Brisbane,1954,4,26,0,17.2,25.6,20.7,4.1,?,?,?,20000,20000,20000,11.7,15.6,14,?,?,?,Thu
Brisbane,1954,6,7,0,12.2,16.7,14.7,6.2,?,?,?,40000,60000,47500,0.6,5,2.2,?,?,?,Sat
Brisbane,1954,7,5,0,11.7,20.6,15.6,5.1,?,?,?,40000,60000,42500,0.6,11.7,7.2,?,?,?,Sat
Brisbane,1954,12,6,15,20,27.2,23.3,7.2,?,?,?,20000,20000,20000,16.1,17.8,17.4,?,?,?,Thu
Brisbane,1955,1,3,0,20,27.8,24.4,7.7,?,?,?,24000,40000,31750,15.6,17.2,16.5,?,?,?,Sat
Brisbane,1955,1,17,0,20.6,29.4,25,5.1,?,?,?,8000,40000,26000,16.1,20,18.7,?,?,?,Sat
Brisbane,1955,2,28,0.5,22.8,30,26.4,6.2,?,?,?,24000,30000,28500,20.6,22.2,21.5,?,?,?,Sat
Brisbane,1955,3,21,4,19.4,28.9,23.8,6.2,?,?,?,24000,30000,27000,17.2,18.9,18,?,?,?,Sat
Brisbane,1955,5,9,0.3,15.6,23.9,18.6,8.2,?,?,?,16000,30000,23250,13.3,16.7,14.9,?,?,?,Thu
Brisbane,1955,5,30,0,13.3,23.3,18.2,5.1,?,?,?,40000,45000,42500,6.1,10,8.2,?,?,?,Sat
Brisbane,1955,7,4,0.5,11.1,19.4,14.3,4.6,?,?,?,30000,40000,36250,8.9,11.1,9.9,?,?,?,Sat
Brisbane,1955,7,18,0,8.9,20.6,13.9,4.1,?,?,?,8000,40000,28250,7.2,11.1,8.6,?,?,?,Thu
Brisbane,1955,8,1,0,6.7,18.3,12.4,4.1,?,?,?,16000,60000,52625,0,3.3,1.5,?,?,?,Sat
Brisbane,1955,11,28,0,18.9,26.7,22.6,4.1,?,?,?,8000,40000,27000,10.6,15,13.5,?,?,?,Thu
Brisbane,1956,7,23,0,7.2,18.9,12.8,3.6,?,?,?,12000,60000,34250,1.7,6.1,4,?,?,?,Sat
Brisbane,1956,12,3,0,20.6,25,22.9,7.2,?,?,?,24000,45000,38000,15,21.1,18.1,?,?,?,Sat
Brisbane,1956,12,10,0,22.2,29.4,24.9,9.3,?,?,?,16000,60000,38250,20,22.2,21.2,?,?,?,Sat
Brisbane,1957,3,18,0,16.7,26.1,21.6,3.1,?,?,?,30000,70000,47500,10.6,15.6,13.9,?,?,?,Sat
Brisbane,1957,6,3,0,14.4,23.3,18.8,5.1,?,?,?,30000,60000,44375,9.4,13.9,12.3,?,?,?,Sat
Brisbane,1957,8,19,2,15,20.6,17.4,4.6,?,?,?,4000,40000,21875,11.7,15,13.4,?,?,?,Thu
Brisbane,1957,9,9,0,12.2,21.7,17,3.6,?,?,?,19000,45000,32250,7.8,11.1,9.7,?,?,?,Sat
Brisbane,1957,9,16,7,7.8,22.2,15.2,5.1,?,?,?,40000,60000,47857.1,1.1,5,3,?,?,?,Sat
Brisbane,1957,10,14,0,18.9,23.9,21.3,5.7,?,?,?,12000,24000,15750,10.6,18.3,15.8,?,?,?,Thu
Brisbane,1957,11,4,0,21.7,28.9,24.1,7.2,?,?,?,16000,70000,42750,18.3,20,19.1,?,?,?,Sat
Brisbane,1960,1,18,0,22.2,28.9,25.2,5.1,?,?,?,40000,40000,40000,17.2,18.9,18.3,?,?,?,Sat
Brisbane,1960,5,2,0,11.1,23.9,17.3,3.1,?,?,?,27000,60000,45500,8.9,11.1,9.7,?,?,?,Sat
Brisbane,1960,6,20,0,9.4,20,14.1,3.1,?,?,?,16000,40000,30500,7.8,10,9.4,?,?,?,Sat
Brisbane,1960,12,5,4,16.7,25.6,21.1,8.7,?,?,?,4800,45000,27725,13.3,15.6,14.1,?,?,?,Sat
Brisbane,1961,1,2,0,22.8,27.8,25.2,7.2,?,?,?,19000,55000,40500,17.2,20.6,18.7,?,?,?,Sat
Brisbane,1961,2,13,3.8,18.9,27.2,22.5,7.7,?,?,?,28000,40000,32875,13.3,18.3,16.2,?,?,?,Sat
Brisbane,1961,3,27,0,18.9,26.7,22.6,8.2,?,?,?,24000,45000,36125,16.7,18.3,17.5,?,?,?,Sat
Brisbane,1961,7,17,0,5,18.9,11.2,5.1,?,?,?,9000,45000,29625,0.6,5,2.9,?,?,?,Thu
Brisbane,1961,7,31,0,11.7,23.3,16.8,6.7,?,?,?,8000,45000,26875,6.1,14.4,11.1,?,?,?,Thu
Brisbane,1962,6,4,14,12.8,18.3,14.8,2.6,?,?,?,9000,45000,18375,10,12.8,11.5,?,?,?,Tue
Brisbane,1962,8,20,0,11.1,20,15.3,8.2,?,?,?,40000,70000,55625,2.8,7.2,5.3,?,?,?,Sat
Brisbane,1962,11,12,0,20,26.1,23.6,6.2,?,?,?,30000,45000,41250,16.7,21.1,19.5,?,?,?,Sat
